Id,Nome,Biblioteca de formas,ID da p´ágina,Contido por,Grupo,Origem da linha,Destino da linha,Seta de origem,Seta de destino,Status,Área de texto 1
1,Documento,,,,,,,,,RASCUNHO,TCC - Caso de Uso 01
2,Página,,,,,,,,,,Página 1
3,Ator,UML,2,,,,,,,,Usuário
4,Caso de uso,UML,2,,,,,,,,Gerenciar Clientes
5,Caso de uso,UML,2,,,,,,,,Gerenciar Vendas
6,Caso de uso,UML,2,,,,,,,,Gerenciar Pagamentos
7,Caso de uso,UML,2,,,,,,,,Gerenciar Produtos
8,Caso de uso,UML,2,,,,,,,,Gerenciar Packs
9,Caso de uso,UML,2,,,,,,,,Gerenciar Agenda
10,Caso de uso,UML,2,,,,,,,,Gerenciar Usuários
11,Ator,UML,2,,,,,,,,Administrador
12,Caso de uso,UML,2,,,,,,,,Gerenciar Formas de Pagamento
13,Caso de uso,UML,2,,,,,,,,Gerenciar Categorias
14,Caso de uso,UML,2,,,,,,,,Gerenciar Subcategorias
15,Caso de uso,UML,2,,,,,,,,Gerenciar Marcas
16,Caso de uso,UML,2,,,,,,,,Gerenciar Linhas
17,Caso de uso,UML,2,,,,,,,,Sincronizar Dados
18,Ator,UML,2,,,,,,,,REST
19,Linha,,2,,,3,4,None,Arrow,,
20,Linha,,2,,,3,5,None,Arrow,,
21,Linha,,2,,,3,6,None,Arrow,,
22,Linha,,2,,,3,14,None,Arrow,,
23,Linha,,2,,,3,8,None,Arrow,,
24,Linha,,2,,,3,9,None,Arrow,,
25,Linha,,2,,,11,3,None,Arrow,,
26,Linha,,2,,,11,10,None,Arrow,,
27,Linha,,2,,,3,12,None,Arrow,,
28,Linha,,2,,,13,3,Arrow,None,,
29,Linha,,2,,,7,3,Arrow,None,,
30,Linha,,2,,,15,3,Arrow,None,,
31,Linha,,2,,,16,3,Arrow,None,,
32,Linha,,2,,,10,17,None,Arrow,,
33,Linha,,2,,,4,17,None,Arrow,,
34,Linha,,2,,,12,17,None,Arrow,,
35,Linha,,2,,,5,17,None,Arrow,,
36,Linha,,2,,,6,17,None,Arrow,,
37,Linha,,2,,,7,17,None,Arrow,,
38,Linha,,2,,,13,17,None,Arrow,,
39,Linha,,2,,,14,17,None,Arrow,,
40,Linha,,2,,,15,17,None,Arrow,,
41,Linha,,2,,,16,17,None,Arrow,,
42,Linha,,2,,,8,17,None,Arrow,,
43,Linha,,2,,,9,17,None,Arrow,,
44,Linha,,2,,,17,18,None,Arrow,,
